Plaka,Tarih_Saat,Guven_%,Video_sn
34 JH 4438,2026-07-08 15:43:52,91.7,0.0
35 FR 056,2026-07-08 15:44:02,94.7,2.1
05 FR 056,2026-07-08 15:47:41,93.2,75.6
37 ER 491,2026-07-08 15:49:41,72.4,131.0
34 FR 2876,2026-07-08 15:51:20,98.2,186.2
34 FYR 15,2026-07-08 15:52:56,63.7,250.6
