Plaka,Tarih_Saat,Guven_%,Video_sn
34 BAH 486,2026-07-22 11:10:34,100.0,0.0
34 DAG 963,2026-07-22 11:10:36,100.0,0.0
34 KG 871,2026-07-22 11:10:42,99.8,5.6
34 A 5635,2026-07-22 11:10:58,99.8,15.6
35 THY 79,2026-07-22 11:11:15,98.6,30.2
