Tarih_Saat,Video_sn,kisi,baret_var,baret_yok,yelek_var,yelek_yok
2026-07-10 11:46:55,2.4,0,0,2,0,0
2026-07-10 11:46:55,2.9,2,0,1,0,1
2026-07-10 11:46:56,3.2,1,0,1,0,1
2026-07-10 11:46:56,3.5,1,0,1,0,0
2026-07-10 11:46:57,4.3,1,0,1,0,0
2026-07-10 11:46:57,4.5,1,0,1,0,0
2026-07-10 11:46:57,4.8,1,0,1,0,0
2026-07-10 11:46:57,5.1,1,0,1,0,0
2026-07-10 11:46:58,5.3,0,0,2,0,0
2026-07-10 11:46:59,6.2,1,0,1,0,0
2026-07-10 11:46:59,6.7,1,0,2,0,0
2026-07-10 11:46:59,7.0,0,0,1,0,0
2026-07-10 11:47:00,7.2,1,0,1,0,0
2026-07-10 11:47:00,7.5,1,0,1,0,0
2026-07-10 11:47:00,7.7,1,0,1,0,0
2026-07-10 11:47:00,8.0,1,0,1,0,0
2026-07-10 11:47:01,8.3,1,0,1,0,0
2026-07-10 11:47:01,8.5,1,0,1,0,0
2026-07-10 11:47:01,8.8,1,0,1,0,0
2026-07-10 11:47:01,9.1,1,0,1,0,0
2026-07-10 11:47:02,9.4,1,0,1,0,0
2026-07-10 11:47:02,9.6,1,0,1,0,0
2026-07-10 11:47:02,9.9,1,0,1,0,0
2026-07-10 11:47:03,10.1,1,0,1,0,0
2026-07-10 11:47:03,10.4,1,0,1,0,0
2026-07-10 11:47:03,10.7,1,0,1,0,0
2026-07-10 11:47:03,10.9,1,0,1,0,0
2026-07-10 11:47:04,11.2,1,0,1,0,0
2026-07-10 11:47:04,11.5,1,0,1,0,0
2026-07-10 11:47:04,11.7,1,0,1,0,0
2026-07-10 11:47:04,12.0,1,0,1,0,0
2026-07-10 11:47:05,12.3,1,0,1,0,0
2026-07-10 11:47:05,12.5,2,0,1,0,0
2026-07-10 11:47:05,12.8,1,0,1,0,0
2026-07-10 11:47:05,13.1,1,0,1,0,0
2026-07-10 11:47:06,13.3,1,0,1,0,0
2026-07-10 11:47:06,13.6,1,0,1,0,0
2026-07-10 11:47:06,13.9,1,0,2,0,0
2026-07-10 11:47:07,14.2,1,0,1,0,0
2026-07-10 11:47:07,14.4,1,0,1,0,0
2026-07-10 11:47:07,14.7,1,0,1,0,0
2026-07-10 11:47:07,15.0,1,0,2,0,0
2026-07-10 11:47:08,15.2,1,0,2,0,0
2026-07-10 11:47:08,15.5,1,0,2,0,0
2026-07-10 11:47:08,15.7,1,0,2,0,0
2026-07-10 11:47:08,16.0,1,0,2,0,0
2026-07-10 11:47:09,16.3,2,0,2,0,0
2026-07-10 11:47:09,16.6,2,0,2,0,0
2026-07-10 11:47:09,16.9,1,0,2,0,0
2026-07-10 11:47:10,17.2,1,0,2,0,0
2026-07-10 11:47:10,17.4,1,0,1,0,0
2026-07-10 11:47:10,17.7,1,0,1,0,0
2026-07-10 11:47:10,18.0,1,0,1,0,0
2026-07-10 11:47:11,18.5,1,0,1,0,0
2026-07-10 11:47:11,18.8,1,0,1,0,0
2026-07-10 11:47:11,19.0,1,0,2,0,0
2026-07-10 11:47:12,19.3,1,0,2,0,0
2026-07-10 11:47:12,19.6,1,0,2,0,0
2026-07-10 11:47:12,19.8,1,0,2,0,0
2026-07-10 11:47:12,20.1,1,0,1,0,0
2026-07-10 11:47:13,20.4,1,0,2,0,0
2026-07-10 11:47:13,20.6,1,0,1,0,0
2026-07-10 11:47:13,20.9,1,0,1,0,0
2026-07-10 11:47:14,21.2,1,0,1,0,0
2026-07-10 11:47:14,21.5,1,0,2,0,0
2026-07-10 11:47:14,21.7,1,0,2,0,0
2026-07-10 11:47:14,22.0,1,0,2,0,0
2026-07-10 11:47:15,22.3,1,0,2,0,0
2026-07-10 11:47:15,22.5,1,0,2,0,0
2026-07-10 11:47:15,22.8,1,0,2,0,0
2026-07-10 11:47:15,23.1,2,0,1,0,0
2026-07-10 11:47:16,23.3,1,0,1,0,0
2026-07-10 11:47:16,23.6,1,0,1,0,0
2026-07-10 11:47:16,23.9,1,0,2,0,0
2026-07-10 11:47:17,24.1,1,0,1,0,0
2026-07-10 11:47:17,24.4,1,0,1,0,0
2026-07-10 11:47:17,24.7,1,0,1,0,0
2026-07-10 11:47:17,25.0,1,0,1,0,0
2026-07-10 11:47:18,25.2,1,0,1,0,0
2026-07-10 11:47:18,25.5,1,0,2,0,0
2026-07-10 11:47:18,25.7,1,0,1,0,0
2026-07-10 11:47:18,26.0,1,0,1,0,0
2026-07-10 11:47:19,26.2,1,0,2,0,0
2026-07-10 11:47:19,26.5,1,0,1,0,0
2026-07-10 11:47:19,26.8,1,0,2,0,0
2026-07-10 11:47:19,27.0,1,0,1,0,0
2026-07-10 11:47:20,27.3,1,0,2,0,0
2026-07-10 11:47:20,27.6,1,0,2,0,0
2026-07-10 11:47:20,27.8,1,0,3,0,0
2026-07-10 11:47:20,28.1,1,0,2,0,0
2026-07-10 11:47:21,28.4,1,0,1,0,0
2026-07-10 11:47:21,28.6,1,0,1,0,0
2026-07-10 11:47:21,28.9,1,0,3,0,0
2026-07-10 11:47:22,29.2,1,0,2,0,0
2026-07-10 11:47:22,29.5,1,0,2,0,0
2026-07-10 11:47:22,29.8,1,0,1,0,0
2026-07-10 11:47:22,30.0,1,0,1,0,0
2026-07-10 11:47:23,30.3,1,0,1,0,0
2026-07-10 11:47:23,30.6,1,0,1,0,0
2026-07-10 11:47:23,30.8,1,0,1,0,0
2026-07-10 11:47:23,31.1,1,0,2,0,0
2026-07-10 11:47:24,31.4,1,0,2,0,0
2026-07-10 11:47:24,31.6,2,0,2,0,0
2026-07-10 11:47:24,31.9,1,0,2,0,0
2026-07-10 11:47:25,32.2,1,0,2,0,0
2026-07-10 11:47:25,32.4,1,0,2,0,0
2026-07-10 11:47:25,32.7,1,0,2,0,0
2026-07-10 11:47:25,33.0,1,0,2,0,0
2026-07-10 11:47:26,33.2,1,0,2,0,0
2026-07-10 11:47:26,33.5,1,0,2,0,0
2026-07-10 11:47:26,33.8,2,0,2,0,0
2026-07-10 11:47:26,34.0,2,0,2,0,0
2026-07-10 11:47:27,34.3,1,0,2,0,0
2026-07-10 11:47:27,34.6,1,0,2,0,0
2026-07-10 11:47:27,34.9,1,0,1,0,0
2026-07-10 11:47:27,35.1,1,0,2,0,0
2026-07-10 11:47:28,35.4,1,0,2,0,0
2026-07-10 11:47:28,35.6,1,0,2,0,0
2026-07-10 11:47:28,35.9,1,0,2,0,0
2026-07-10 11:47:29,36.2,1,0,2,0,0
2026-07-10 11:47:29,36.5,1,0,2,0,0
2026-07-10 11:47:29,36.7,2,0,2,0,0
2026-07-10 11:47:29,37.0,2,0,2,0,0
2026-07-10 11:47:30,37.2,1,0,2,0,0
2026-07-10 11:47:30,37.5,2,0,2,0,0
2026-07-10 11:47:30,37.8,1,0,2,0,0
2026-07-10 11:47:30,38.1,2,0,2,0,0
2026-07-10 11:47:31,38.3,1,0,2,0,0
2026-07-10 11:47:31,38.6,1,0,2,0,0
2026-07-10 11:47:31,38.9,1,0,2,0,0
2026-07-10 11:47:32,39.1,1,0,2,0,0
2026-07-10 11:47:32,39.4,1,0,2,0,0
2026-07-10 11:47:32,39.7,1,0,2,0,0
2026-07-10 11:47:32,40.0,1,0,1,0,0
2026-07-10 11:47:33,40.2,1,0,1,0,0
2026-07-10 11:47:33,41.0,1,0,1,0,0
2026-07-10 11:47:34,41.3,0,0,2,0,0
2026-07-10 11:47:34,41.5,1,0,2,0,0
2026-07-10 11:47:34,41.8,1,0,2,0,0
2026-07-10 11:47:34,42.1,1,0,2,0,1
2026-07-10 11:47:35,42.3,1,0,1,0,1
2026-07-10 11:47:35,42.6,1,0,1,0,1
2026-07-10 11:47:35,42.9,1,0,1,0,0
2026-07-10 11:47:35,43.1,0,0,1,0,0
2026-07-10 11:47:36,43.4,0,0,1,0,1
2026-07-10 11:47:36,43.7,1,0,1,0,1
2026-07-10 11:47:36,43.9,1,0,1,0,1
2026-07-10 11:47:37,44.2,1,0,1,0,1
2026-07-10 11:47:37,44.5,1,0,1,0,1
2026-07-10 11:47:37,44.8,1,0,1,0,1
2026-07-10 11:47:37,45.0,1,0,1,0,1
2026-07-10 11:47:38,45.3,1,0,1,0,1
2026-07-10 11:47:38,45.5,1,0,1,0,1
2026-07-10 11:47:38,45.8,1,0,1,0,1
2026-07-10 11:47:38,46.1,1,0,1,0,1
2026-07-10 11:47:39,46.4,1,0,1,0,1
2026-07-10 11:47:39,46.6,1,0,1,0,1
2026-07-10 11:47:39,46.9,1,0,1,0,1
2026-07-10 11:47:40,47.2,1,0,1,0,1
2026-07-10 11:47:40,47.4,1,0,1,0,1
2026-07-10 11:47:40,47.7,1,0,2,0,1
2026-07-10 11:47:40,48.0,1,0,2,0,1
2026-07-10 11:47:41,48.2,1,0,2,0,1
2026-07-10 11:47:41,48.5,1,0,2,0,1
2026-07-10 11:47:41,48.8,2,0,2,0,1
2026-07-10 11:47:41,49.1,2,0,2,0,1
2026-07-10 11:47:42,49.3,2,0,2,0,1
2026-07-10 11:47:42,49.6,1,0,3,0,1
2026-07-10 11:47:42,49.9,2,0,2,0,1
2026-07-10 11:47:42,50.1,2,0,2,0,1
2026-07-10 11:47:43,50.4,1,0,2,0,0
2026-07-10 11:47:43,50.7,2,0,2,0,0
2026-07-10 11:47:43,50.9,1,0,2,0,0
2026-07-10 11:47:44,51.2,2,0,2,0,0
